npdes_id,facility_name,address,city,state,zip,lat,lng,lifetime_qtrs_any_snc,current_pollution_snc_streak,first_snc_qtr,enforcement_status
MAG912210,GREATER CAMBRIDGE ENERGY PROGRAM - ROUTE P13,AMES STREET,CAMBRIDGE,MA,02142,42.361493,-71.088309,3,3,20254,no_formal_federal_action_since_2023-05;no_informal_action
MO0132527,OAK BROOK ESTATES WWTP,0.38 MILES WEST OF THE INTERSECTION OF,WALNUT SHADE,MO,65771,36.7654749,-93.205807,19,8,20192,no_formal_federal_action_since_2023-05;no_informal_action
IN0063525,DEARBORN COUNTY RSD HIGH RIDGE WWTP,10936 TIMBERVIEW DR,AURORA,IN,47001,39.038583,-85.041389,22,0,20103,no_formal_federal_action_since_2023-05;has_informal_action
LAG380135,BAYOU TECHE WATER WORKS INC.,702 COTEAU HOMES RD,LOREAUVILLE,LA,70552,30.083889,-91.740556,20,3,20174,no_formal_federal_action_since_2023-05;no_informal_action
LAG540104,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- HIGHLAND ACRES",DAYNA ST,LAFAYETTE,LA,70593,30.344444,-92.062222,100,100,20013,no_formal_federal_action_since_2023-05;no_informal_action
MAG912185,TRIDENT LOGISTICS CENTER,"49, 51, 140 LEE BURBANK HWY",REVERE,MA,02151,42.397721,-71.005898,5,5,20252,no_formal_federal_action_since_2023-05;no_informal_action
MO0107719,CENTER WWTF,1.5 MI E OF HIGHWAY 19 AND HIGHWAY H,CENTER,MO,63436,39.5210558,-91.504496,54,10,20121,no_formal_federal_action_since_2023-05;no_informal_action
WV0105732,PRICHARD PSD,"U. S. ROUTE 52, PRICHARD INDUSTRIAL PARK",PRICHARD,WV,25555,38.2439,-82.6017,64,8,20061,no_formal_federal_action_since_2023-05;no_informal_action
IN0023981,OOLITIC WWTP,1003 VISTA DR,OOLITIC,IN,47451,38.890333,-86.528722,9,5,20053,no_formal_federal_action_since_2023-05;has_informal_action
PA0034185,HIGH MEADOWS MHP STP,219 LEEWOOD DR,NEW KENSINGTON,PA,15068-9508,40.625,-79.700278,7,6,20222,no_formal_federal_action_since_2023-05;has_informal_action
MD3414M02,THE ARENA CLUB,2304 CHURCHVILLE ROAD,CHURCHVILLE,MD,21028,+39.558333,-76.279167,7,6,20121,no_formal_federal_action_since_2023-05;no_informal_action
IA0073580,MACBRIDE SANITARY SEWER DISTRICT,4080-4000 ROSE DRIVE NE,SOLON,IA,52333,41.81472,-91.53637,15,6,20142,no_formal_federal_action_since_2023-05;no_informal_action
OH0138975,PSD PARTNERS LLC,5968  SR 199,CAREY,OH,43316,40.904444,-83.337778,28,5,20094,no_formal_federal_action_since_2023-05;no_informal_action
